DISTRICT,DD000A001219R,DD000A001319R,DD000A001S19R,DD000AC01219R,DD000AC01319R,DD000AC01S19R,DD000AM01219R,DD000AM01319R,DD000AM01S19R,DD000AR01219R,DD000AR01319R,DD000AR01S19R,DD000AS01219R,DD000AS01319R,DD000AS01S19R,DD000AW01219R,DD000AW01319R,DD000AW01S19R,DD200A001219R,DD200A001319R,DD200A001S19R,DD200AC01219R,DD200AC01319R,DD200AC01S19R,DD200AM01219R,DD200AM01319R,DD200AM01S19R,DD200AR01219R,DD200AR01319R,DD200AR01S19R,DD200AS01219R,DD200AS01319R,DD200AS01S19R,DD200AW01219R,DD200AW01319R,DD200AW01S19R,DD300A001219R,DD300A001319R,DD300A001S19R,DD300AC01219R,DD300AC01319R,DD300AC01S19R,DD300AM01219R,DD300AM01319R,DD300AM01S19R,DD300AR01219R,DD300AR01319R,DD300AR01S19R,DD300AS01219R,DD300AS01319R,DD300AS01S19R,DD300AW01219R,DD300AW01319R,DD300AW01S19R,DD400A001219R,DD400A001319R,DD400A001S19R,DD400AC01219R,DD400AC01319R,DD400AC01S19R,DD400AM01219R,DD400AM01319R,DD400AM01S19R,DD400AR01219R,DD400AR01319R,DD400AR01S19R,DD400AS01219R,DD400AS01319R,DD400AS01S19R,DD400AW01219R,DD400AW01319R,DD400AW01S19R,DDA00A001219R,DDA00A001319R,DDA00A001S19R,DDA00AC01219R,DDA00AC01319R,DDA00AC01S19R,DDA00AM01219R,DDA00AM01319R,DDA00AM01S19R,DDA00AR01219R,DDA00AR01319R,DDA00AR01S19R,DDA00AS01219R,DDA00AS01319R,DDA00AS01S19R,DDA00AW01219R,DDA00AW01319R,DDA00AW01S19R,DDB00A001219R,DDB00A001319R,DDB00A001S19R,DDB00AC01219R,DDB00AC01319R,DDB00AC01S19R,DDB00AM01219R,DDB00AM01319R,DDB00AM01S19R,DDB00AR01219R,DDB00AR01319R,DDB00AR01S19R,DDB00AS01219R,DDB00AS01319R,DDB00AS01S19R,DDB00AW01219R,DDB00AW01319R,DDB00AW01S19R,DDE00A001219R,DDE00A001319R,DDE00A001S19R,DDE00AC01219R,DDE00AC01319R,DDE00AC01S19R,DDE00AM01219R,DDE00AM01319R,DDE00AM01S19R,DDE00AR01219R,DDE00AR01319R,DDE00AR01S19R,DDE00AS01219R,DDE00AS01319R,DDE00AS01S19R,DDE00AW01219R,DDE00AW01319R,DDE00AW01S19R,DDF00A001219R,DDF00A001319R,DDF00A001S19R,DDF00AC01219R,DDF00AC01319R,DDF00AC01S19R,DDF00AM01219R,DDF00AM01319R,DDF00AM01S19R,DDF00AR01219R,DDF00AR01319R,DDF00AR01S19R,DDF00AS01219R,DDF00AS01319R,DDF00AS01S19R,DDF00AW01219R,DDF00AW01319R,DDF00AW01S19R,DDH00A001219R,DDH00A001319R,DDH00A001S19R,DDH00AC01219R,DDH00AC01319R,DDH00AC01S19R,DDH00AM01219R,DDH00AM01319R,DDH00AM01S19R,DDH00AR01219R,DDH00AR01319R,DDH00AR01S19R,DDH00AS01219R,DDH00AS01319R,DDH00AS01S19R,DDH00AW01219R,DDH00AW01319R,DDH00AW01S19R,DDI00A001219R,DDI00A001319R,DDI00A001S19R,DDI00AC01219R,DDI00AC01319R,DDI00AC01S19R,DDI00AM01219R,DDI00AM01319R,DDI00AM01S19R,DDI00AR01219R,DDI00AR01319R,DDI00AR01S19R,DDI00AS01219R,DDI00AS01319R,DDI00AS01S19R,DDI00AW01219R,DDI00AW01319R,DDI00AW01S19R,DDL00A001219R,DDL00A001319R,DDL00A001S19R,DDL00AC01219R,DDL00AC01319R,DDL00AC01S19R,DDL00AM01219R,DDL00AM01319R,DDL00AM01S19R,DDL00AR01219R,DDL00AR01319R,DDL00AR01S19R,DDL00AS01219R,DDL00AS01319R,DDL00AS01S19R,DDL00AW01219R,DDL00AW01319R,DDL00AW01S19R,DDM00A001219R,DDM00A001319R,DDM00A001S19R,DDM00AC01219R,DDM00AC01319R,DDM00AC01S19R,DDM00AM01219R,DDM00AM01319R,DDM00AM01S19R,DDM00AR01219R,DDM00AR01319R,DDM00AR01S19R,DDM00AS01219R,DDM00AS01319R,DDM00AS01S19R,DDM00AW01219R,DDM00AW01319R,DDM00AW01S19R,DDR00A001219R,DDR00A001319R,DDR00A001S19R,DDR00AC01219R,DDR00AC01319R,DDR00AC01S19R,DDR00AM01219R,DDR00AM01319R,DDR00AM01S19R,DDR00AR01219R,DDR00AR01319R,DDR00AR01S19R,DDR00AS01219R,DDR00AS01319R,DDR00AS01S19R,DDR00AW01219R,DDR00AW01319R,DDR00AW01S19R,DDS00A001219R,DDS00A001319R,DDS00A001S19R,DDS00AC01219R,DDS00AC01319R,DDS00AC01S19R,DDS00AM01219R,DDS00AM01319R,DDS00AM01S19R,DDS00AR01219R,DDS00AR01319R,DDS00AR01S19R,DDS00AS01219R,DDS00AS01319R,DDS00AS01S19R,DDS00AW01219R,DDS00AW01319R,DDS00AW01S19R,DDW00A001219R,DDW00A001319R,DDW00A001S19R,DDW00AC01219R,DDW00AC01319R,DDW00AC01S19R,DDW00AM01219R,DDW00AM01319R,DDW00AM01S19R,DDW00AR01219R,DDW00AR01319R,DDW00AR01S19R,DDW00AS01219R,DDW00AS01319R,DDW00AS01S19R,DDW00AW01219R,DDW00AW01319R,DDW00AW01S19R,DNC00A001219R,DNC00A001319R,DNC00A001S19R,DNC00AC01219R,DNC00AC01319R,DNC00AC01S19R,DNC00AM01219R,DNC00AM01319R,DNC00AM01S19R,DNC00AR01219R,DNC00AR01319R,DNC00AR01S19R,DNC00AS01219R,DNC00AS01319R,DNC00AS01S19R,DNC00AW01219R,DNC00AW01319R,DNC00AW01S19R,DNM00A001219R,DNM00A001319R,DNM00A001S19R,DNM00AC01219R,DNM00AC01319R,DNM00AC01S19R,DNM00AM01219R,DNM00AM01319R,DNM00AM01S19R,DNM00AR01219R,DNM00AR01319R,DNM00AR01S19R,DNM00AS01219R,DNM00AS01319R,DNM00AS01S19R,DNM00AW01219R,DNM00AW01319R,DNM00AW01S19R,DNS00A001219R,DNS00A001319R,DNS00A001S19R,DNS00AC01219R,DNS00AC01319R,DNS00AC01S19R,DNS00AM01219R,DNS00AM01319R,DNS00AM01S19R,DNS00AR01219R,DNS00AR01319R,DNS00AR01S19R,DNS00AS01219R,DNS00AS01319R,DNS00AS01S19R,DNS00AW01219R,DNS00AW01319R,DNS00AW01S19R
"067902",37,27,70,-1,-1,-1,30,20,80,40,30,60,-1,-1,-1,-1,-1,-1,63,22,89,83,17,100,40,0,60,56,0,89,71,71,100,.,.,.,89,56,100,-1,-1,-1,100,83,100,83,50,100,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58,27,85,65,26,88,57,24,86,56,26,85,63,44,86,55,25,83,23,9,50,-1,-1,-1,22,0,56,11,0,33,-1,-1,-1,-1,-1,-1,48,20,78,57,20,82,45,17,79,45,18,77,52,41,79,50,21,74,60,27,86,59,23,86,58,25,85,62,29,86,58,32,80,64,33,88,54,22,82,59,15,87,58,21,84,49,24,82,43,22,61,56,30,89,73,27,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,27,85,70,28,89,57,24,87,51,24,83,68,57,92,44,15,76,34,14,72,43,14,75,33,12,76,30,11,70,45,38,73,28,13,60,19,9,38,18,9,36,16,6,37,16,7,39,46,31,54,20,10,30,59,28,87,64,27,86,57,25,87,59,28,86,68,48,91,56,25,82,62,29,89,69,28,92,63,27,89,60,28,89,60,43,84,59,27,84,47,21,75,49,17,71,41,17,77,46,19,72,76,48,92,42,19,77,63,32,92,80,20,100,75,25,92,57,43,86,-1,-1,-1,-1,-1,-1
"067903",33,15,61,27,12,65,41,17,71,27,15,52,40,10,60,33,13,60,50,25,69,-1,-1,-1,60,20,80,60,40,60,-1,-1,-1,-1,-1,-1,74,47,95,-1,-1,-1,83,67,100,67,50,83,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,49,21,80,47,17,84,51,23,84,49,21,77,59,30,83,35,14,72,5,0,70,-1,-1,-1,0,0,80,0,0,70,-1,-1,-1,-1,-1,-1,41,15,74,41,13,78,45,17,80,39,16,71,48,17,72,23,8,63,52,23,84,51,16,83,52,23,88,55,24,83,54,33,80,39,21,78,42,16,75,36,14,78,44,20,79,39,13,71,58,22,78,33,12,70,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,5,48,10,5,55,21,7,60,10,6,40,0,0,20,0,0,33,47,20,76,44,18,84,51,22,79,44,19,71,64,26,85,31,7,65,25,7,65,21,6,69,31,9,70,24,7,60,27,8,65,14,1,57,19,6,42,17,3,59,25,9,48,16,5,33,14,0,43,21,7,36,53,24,82,52,19,86,55,24,86,54,25,80,60,35,87,37,15,72,51,22,82,49,19,85,53,23,85,50,22,80,66,33,87,35,15,72,44,19,74,43,11,79,46,21,80,46,21,69,33,18,67,36,12,71,36,14,69,.,.,.,47,13,87,33,20,60,.,.,.,17,0,50
"067904",19,6,71,0,0,20,40,10,90,20,10,80,-1,-1,-1,-1,-1,-1,58,33,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,12,68,39,17,66,39,14,77,38,12,67,27,12,69,19,2,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,32,12,62,38,15,65,37,15,73,33,11,60,22,11,56,19,3,38,37,13,75,41,19,69,40,12,85,40,15,76,22,13,70,27,0,59,38,11,70,41,11,59,46,16,84,42,11,74,20,10,55,18,0,47,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,6,71,0,0,20,40,10,90,20,10,80,-1,-1,-1,-1,-1,-1,34,11,61,38,16,63,38,16,70,36,9,60,31,12,69,13,3,37,19,3,54,20,3,50,27,5,69,19,5,51,4,0,46,6,0,32,19,1,35,25,0,50,22,0,41,19,3,32,0,0,20,0,0,0,32,12,65,38,24,71,33,13,71,33,11,62,32,14,79,18,0,44,37,13,69,43,22,69,42,15,78,38,11,69,26,11,71,23,3,46,29,10,62,27,0,53,29,10,71,37,14,63,27,18,64,8,0,46,33,14,67,-1,-1,-1,57,29,71,43,14,71,-1,-1,-1,-1,-1,-1
"067907",0,0,38,-1,-1,-1,0,0,33,0,0,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,11,65,40,15,69,23,9,66,36,12,65,35,15,60,28,0,55,10,0,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,29,10,64,31,15,69,22,8,65,32,8,64,40,21,65,20,0,57,34,13,72,40,19,70,24,9,71,40,16,78,30,15,61,37,0,74,32,8,64,29,12,59,27,8,63,34,8,63,44,13,81,31,0,54,0,0,80,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,0,0,44,-1,-1,-1,0,0,33,0,0,67,-1,-1,-1,-1,-1,-1,30,9,58,40,11,69,23,9,62,32,8,53,41,16,59,19,0,38,19,5,54,22,7,59,12,4,56,23,6,54,20,5,45,14,0,45,28,14,54,41,18,59,30,24,58,29,5,58,10,10,40,-1,-1,-1,33,12,64,43,17,72,23,10,66,38,14,65,36,18,53,28,0,56,33,11,64,47,16,69,21,8,66,36,13,62,44,18,69,29,0,54,30,10,65,28,14,69,27,11,67,36,10,69,23,12,46,25,0,58,34,10,76,40,40,100,30,0,80,36,9,64,-1,-1,-1,-1,-1,-1
"067908",30,10,75,-1,-1,-1,38,13,75,25,13,100,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,15,80,16,3,48,41,14,83,46,18,91,28,8,60,57,29,90,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,36,16,80,17,4,54,39,18,82,39,19,91,19,0,56,60,27,93,41,20,82,10,0,43,40,21,88,54,23,95,25,13,56,73,45,100,32,14,78,0,0,22,30,10,85,45,20,100,0,0,50,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,6,72,-1,-1,-1,29,0,71,14,14,100,.,.,.,-1,-1,-1,37,8,78,30,10,60,42,6,76,34,11,87,33,0,67,40,10,80,21,7,69,10,5,40,21,6,65,25,9,86,0,0,44,50,13,88,19,13,38,-1,-1,-1,20,0,20,17,17,67,-1,-1,-1,-1,-1,-1,43,15,81,20,5,55,45,15,83,47,17,90,41,12,65,47,24,88,52,19,86,15,8,62,53,15,85,58,21,96,50,20,80,64,36,82,28,11,74,17,0,39,28,14,81,33,15,87,13,0,47,50,20,100,10,0,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
"068802",50,25,63,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,47,12,88,-1,-1,-1,29,14,100,71,14,86,.,.,.,.,.,.,100,86,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,25,85,46,19,77,57,26,88,52,26,85,56,33,84,47,18,81,37,8,76,-1,-1,-1,38,8,69,46,15,92,-1,-1,-1,40,0,80,49,23,81,48,24,81,55,21,84,47,23,81,59,48,78,30,13,73,53,26,85,41,16,78,54,25,86,55,29,87,50,33,81,53,24,85,52,24,83,45,23,78,56,26,86,49,23,81,63,38,88,47,18,80,86,43,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,53,24,84,51,23,75,60,27,90,49,22,82,64,34,89,39,12,76,24,6,69,22,9,57,31,8,76,19,2,68,38,18,68,15,1,60,18,7,53,14,14,43,23,6,60,12,5,52,30,30,60,15,0,38,54,25,86,47,16,77,58,26,90,54,28,87,50,32,82,46,19,81,54,25,86,50,22,81,58,27,89,52,25,87,58,39,84,46,18,80,51,23,82,36,14,67,55,24,86,52,28,81,52,21,86,47,18,82,65,37,95,-1,-1,-1,63,38,94,69,38,100,-1,-1,-1,67,33,100
"068803",24,5,68,-1,-1,-1,9,0,73,31,15,69,-1,-1,-1,40,0,100,60,40,87,40,20,80,73,45,100,64,55,82,-1,-1,-1,-1,-1,-1,93,67,100,-1,-1,-1,80,60,100,100,67,100,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,47,20,79,60,26,89,41,17,78,50,21,81,50,24,86,30,11,60,73,45,100,-1,-1,-1,-1,-1,-1,100,60,100,.,.,.,-1,-1,-1,39,12,75,56,15,82,33,10,75,41,13,77,31,13,69,26,13,65,50,20,82,53,22,89,44,15,79,56,24,85,54,26,91,37,14,67,43,15,78,53,19,84,36,11,77,47,17,81,42,16,77,33,10,62,33,0,100,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,19,6,65,-1,-1,-1,10,0,80,20,20,60,-1,-1,-1,-1,-1,-1,44,19,77,66,31,89,39,18,77,45,19,77,45,21,79,23,7,52,16,4,56,33,11,72,11,4,56,18,2,58,9,5,59,7,0,30,16,6,46,18,9,36,16,11,58,19,4,50,-1,-1,-1,0,0,17,48,22,79,66,32,94,44,19,77,51,22,81,58,33,95,25,9,55,53,26,83,70,29,92,46,23,78,56,28,87,67,37,93,33,14,61,43,16,78,55,25,88,39,13,78,47,17,78,41,17,81,28,9,59,20,4,82,40,0,100,20,0,80,13,7,87,-1,-1,-1,14,14,71
"068901",25,9,57,28,7,60,31,12,66,23,8,51,15,5,49,20,5,47,46,22,73,51,24,67,43,19,77,46,23,74,59,34,75,43,16,63,62,36,88,71,42,90,66,39,93,60,32,86,57,43,88,53,24,76,30,7,63,40,13,80,26,7,62,33,6,65,13,13,75,25,0,33,32,12,63,36,12,69,32,13,67,32,11,61,36,18,65,23,6,52,21,7,52,24,8,56,19,6,54,22,7,50,31,16,61,12,5,38,26,9,58,30,8,63,27,10,63,26,8,56,27,12,56,17,4,46,34,12,67,35,12,71,33,13,70,36,13,66,35,17,66,28,8,60,30,10,62,33,10,67,31,12,67,30,10,59,33,15,62,21,5,51,39,13,62,32,0,68,43,17,64,38,11,51,45,36,82,42,17,75,20,7,51,19,5,52,27,11,62,18,6,45,9,2,40,17,4,42,30,11,60,37,12,67,31,13,65,28,9,56,36,20,64,18,4,44,19,5,51,21,4,58,19,6,56,18,3,48,26,10,56,10,2,34,15,5,30,16,5,38,17,6,35,13,3,25,19,9,38,12,3,18,41,18,71,49,22,79,37,16,71,43,16,70,48,31,76,28,10,60,32,12,64,36,12,69,32,13,67,32,11,61,37,19,66,23,6,53,31,12,62,37,13,69,29,12,66,31,11,60,32,17,60,22,6,51,24,10,58,28,8,61,28,13,65,23,10,55,9,5,43,16,4,45
"069901",17,0,30,-1,-1,-1,20,0,30,23,0,31,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,10,58,21,6,57,23,7,55,33,13,59,43,22,84,23,5,45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,6,52,14,2,48,16,6,48,26,8,54,29,8,79,17,3,45,35,12,69,22,6,59,29,8,65,47,19,74,38,6,88,35,12,65,20,3,51,12,0,48,16,4,48,26,4,51,22,9,78,17,0,43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,0,42,-1,-1,-1,33,0,33,33,0,44,-1,-1,-1,-1,-1,-1,22,9,50,20,6,54,18,7,47,24,8,48,48,33,81,13,0,30,15,2,45,10,0,50,15,3,45,19,2,41,6,0,69,5,0,30,15,4,32,20,0,27,15,7,26,14,3,31,14,14,43,14,0,57,51,29,78,47,24,82,40,18,75,56,40,81,79,43,93,40,20,50,27,9,56,17,4,58,22,7,53,33,10,56,44,28,84,23,7,40,31,13,64,36,14,50,25,8,61,33,21,67,42,8,83,20,0,60,44,33,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"069902",17,0,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,27,9,91,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,46,19,77,56,21,82,43,19,79,51,17,76,50,35,83,23,10,60,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,43,19,73,54,18,77,41,23,74,46,15,73,36,24,80,26,15,56,47,23,78,59,16,84,45,24,76,50,24,82,57,43,83,14,5,55,40,14,70,44,7,78,42,16,74,42,12,70,38,24,76,25,19,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,0,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,46,15,76,52,28,80,41,14,82,53,10,71,41,24,82,33,17,67,24,7,60,21,7,64,24,10,62,28,6,57,29,7,71,16,5,53,28,13,54,-1,-1,-1,40,27,73,21,5,37,-1,-1,-1,17,17,33,52,24,82,67,33,87,44,21,82,61,21,80,63,47,89,19,5,76,48,20,77,55,19,81,43,17,78,52,17,77,57,40,80,28,14,62,41,17,78,60,30,90,43,23,83,49,15,74,0,0,100,9,0,55,17,0,50,.,.,.,20,0,60,20,0,60,.,.,.,-1,-1,-1
"070801",19,5,51,14,2,52,22,6,60,20,4,46,20,6,50,9,3,36,25,0,58,.,.,.,40,0,80,17,0,50,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,6,52,17,3,54,22,7,59,23,5,49,24,9,56,13,3,40,18,4,49,19,3,53,15,4,53,21,3,46,23,9,57,11,2,34,21,5,52,17,3,54,22,6,59,22,5,49,24,9,56,13,3,39,23,6,56,16,2,53,23,7,62,27,6,54,19,6,52,18,4,48,21,6,53,15,3,54,25,7,61,22,6,49,24,9,55,12,3,40,17,0,50,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,16,4,48,11,2,48,20,5,58,17,3,43,16,4,46,8,3,34,19,6,49,17,5,55,21,7,56,18,5,43,29,12,60,9,3,32,16,3,47,12,2,49,16,4,52,17,2,43,25,10,55,7,2,32,4,1,12,0,0,11,6,1,17,2,2,6,10,0,24,6,3,9,38,19,68,30,10,50,30,17,65,43,26,70,-1,-1,-1,50,13,81,23,6,55,19,3,55,23,8,60,25,5,52,30,13,61,16,3,45,18,5,49,14,4,52,21,5,58,20,6,44,16,4,49,11,4,34,0,0,17,0,0,13,0,0,33,0,0,8,0,0,11,0,0,20
"070901",10,3,57,0,0,33,13,0,100,8,8,42,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,17,72,39,11,67,41,23,79,40,17,70,43,20,70,27,5,66,0,0,0,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,32,13,63,36,9,64,37,16,72,29,12,59,39,21,61,15,6,53,42,20,78,37,15,63,42,21,83,46,25,82,38,15,69,38,9,72,31,12,66,32,7,57,31,14,73,33,14,65,35,12,65,11,0,58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,0,55,0,0,40,17,0,100,0,0,33,-1,-1,-1,.,.,.,34,13,63,41,7,72,40,26,72,31,6,54,50,29,71,15,0,59,19,6,51,10,3,48,27,12,66,20,3,46,27,9,45,0,0,30,14,4,43,19,0,56,15,4,56,12,2,36,25,17,50,0,0,11,46,21,79,44,15,76,49,29,85,46,20,77,50,25,80,36,8,72,41,20,74,45,14,71,42,25,81,42,19,71,52,26,77,25,7,64,32,10,66,21,5,58,40,18,71,33,11,67,11,0,44,33,0,73,10,5,45,-1,-1,-1,14,14,57,0,0,50,-1,-1,-1,-1,-1,-1
"070903",33,13,69,27,9,68,41,19,80,30,12,66,16,0,46,24,2,53,46,19,71,65,12,82,42,19,72,40,17,68,67,33,89,13,13,25,50,34,88,-1,-1,-1,45,36,91,50,33,83,-1,-1,-1,-1,-1,-1,46,11,79,-1,-1,-1,67,11,78,33,11,67,60,20,100,-1,-1,-1,44,19,75,46,18,79,48,24,81,42,15,71,54,30,83,27,6,58,29,11,60,31,11,62,31,15,66,27,8,54,41,18,75,15,2,47,38,15,71,40,13,75,43,20,78,36,12,66,47,23,80,22,4,53,47,20,79,49,19,82,50,25,82,47,18,77,52,27,85,32,7,67,41,15,74,41,13,77,46,21,82,39,13,70,49,24,81,26,4,55,73,45,91,-1,-1,-1,-1,-1,-1,80,40,100,.,.,.,-1,-1,-1,19,5,55,10,1,47,27,10,69,17,4,51,6,0,32,12,0,34,42,17,72,44,17,76,46,22,81,38,13,66,57,32,82,22,4,50,21,5,57,21,3,62,25,7,67,18,2,50,33,12,69,7,0,30,16,4,38,17,5,43,21,6,51,13,3,29,15,3,37,6,0,26,57,29,84,61,30,88,59,34,87,56,24,80,67,44,90,35,11,71,45,19,76,47,18,79,49,25,82,42,15,72,55,30,84,28,7,61,42,17,71,45,19,79,44,20,77,42,16,66,50,27,82,22,2,47,35,13,79,48,19,67,41,10,93,34,14,81,36,18,73,5,5,37
"070905",28,9,66,33,7,70,33,13,76,24,7,59,27,10,61,15,1,55,43,16,78,57,14,100,53,18,88,33,11,67,-1,-1,-1,40,20,40,73,13,87,-1,-1,-1,-1,-1,-1,50,0,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,36,13,71,44,15,78,38,16,77,32,10,65,45,25,77,21,5,56,23,4,65,27,2,73,25,9,67,20,3,65,32,4,68,10,0,38,33,12,69,42,13,75,36,14,76,30,9,64,41,21,73,18,4,56,37,14,72,43,17,78,37,15,77,35,11,67,47,24,77,24,6,63,36,13,71,45,15,78,38,16,77,32,9,65,43,24,75,21,4,59,29,7,71,-1,-1,-1,-1,-1,-1,0,0,60,-1,-1,-1,.,.,.,21,7,60,25,4,66,28,11,72,18,5,53,18,8,53,7,0,44,34,13,69,46,13,78,39,17,77,29,8,63,43,27,76,19,5,50,26,7,64,33,8,72,29,10,72,21,5,57,35,15,71,10,0,46,14,3,33,18,6,46,16,5,42,11,0,23,20,7,37,13,2,18,39,17,72,45,21,79,41,17,78,36,13,66,57,36,82,26,13,54,37,14,72,47,16,78,39,17,79,32,9,66,46,27,76,21,6,60,33,12,67,38,11,78,34,14,70,31,12,62,43,20,78,22,4,48,38,15,80,61,17,83,30,22,81,29,9,76,64,27,91,14,0,71
"070907",28,7,66,12,0,53,32,8,82,31,12,62,-1,-1,-1,42,0,67,44,15,78,60,20,80,38,25,100,45,9,73,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,17,76,38,9,72,42,19,83,44,18,75,41,27,67,42,12,66,16,2,56,10,0,55,18,5,64,20,0,60,-1,-1,-1,13,0,25,36,13,73,28,3,66,38,16,83,37,14,70,35,21,59,40,6,67,46,19,81,36,7,71,45,23,84,50,23,83,33,22,74,51,13,81,39,14,76,24,2,67,40,17,85,43,17,74,40,28,72,46,5,68,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,26,7,61,0,0,36,28,6,78,26,12,53,-1,-1,-1,42,0,67,39,15,71,40,11,74,40,15,82,38,14,68,46,31,62,33,12,49,27,7,68,25,2,66,28,9,78,28,7,65,24,11,50,26,5,55,22,6,45,27,5,59,22,4,53,25,8,38,20,0,40,7,7,29,51,24,81,57,17,82,50,24,86,51,25,80,49,31,74,44,21,70,43,17,78,37,9,76,42,18,86,46,19,76,37,28,63,44,12,70,42,17,72,40,10,65,43,20,78,41,17,73,50,25,75,39,12,58,30,20,60,-1,-1,-1,33,17,100,13,13,38,-1,-1,-1,-1,-1,-1
